释	607
限	608
恨	609
香	610
亭	611
北	612
倚	613
阑	614
干	615
剪	616
梧	617
枝	618
灉	619
可	620
窥	621
洗	622
净	623
林	624
光	625
澹	626
滋	627
转	628
绕	629
画	630
移	631
共	632
冠	633
冕	634
通	635
极	636
诏	637
从	638
殿	639
碑	640
到	641
百	642
蛮	643
馆	644
浓	645
帆	646
细	647
沧	648
遣	649
16	650
Winding	651
round	652
by	653
Kun-wu	654
Yii-su	655
rill	656
Tze-kos	657
shadow	658
falls	659
on	660
Mei-peis	661
surface	662
still	663
Fragrant	664
paddy	665
as	666
if	667
parrots	668
had	669
picked	670
it	671
over.	672
Smooth	673
are	674
wu-tungs	675
branches	676
worn	677
phoenix	678
claw	679
Maidens	680
plucking	681
seem	682
like	683
a	684
part	685
of	686
Spring	687
Us	688
in	689
one	690
skiff	691
together	692
Night	693
would	694
Elysium	695
bring	696
—	697
Ah	698
!	699
In	700
those	701
days	702
my	703
pen	704
took	705
Natures	706
rainbow	707
glow	708
Now	709
singer	710
grey-headed	711
plumbs	712
abyss	713
woe	714
7	715
A	716
lovely	717
woman	718
her	719
secluded	720
vale	721
she	722
stays	723
Brought	724
up	725
good	726
family	727
She	728
lives	729
amid	730
wild	731
greenery	732
wears	733
flower	734
hair	735
But	736
picks	737
pine-seek	738
hands	739
so	740
fair	741
shivering	742
thin	743
sleeves	744
green	745
At	746
sunset	747
bamboos	748
shell	749
lean	750
12	751
含	752
侵	753
频	754
疏	755
学	756
鸥	757
行	758
炯	759
瞿	760
唐	761
欲	762
定	763
卜	764
瀼	765
西	766
居	767
3	768
Do	769
you	770
not	771
Yellow	772
River	773
from	774
sky	775
Racing	776
all	777
way	778
to	779
sea	780
without	781
coming	782
back	783
?	784
bright	785
mirror	786
hanging	787
high	788
Lament	789
over	790
snow	791
white	792
turned	793
pure	794
black	795
One	796
should	797
take	798
every	799
enjoyment	800
when	801
he	802
succeeds	803
;	804
Let	805
golden	806
cups	807
lie	808
empty	809
moon	810
God	811
endows	812
talent	813
that	814
use	815
must	816
be	817
thousand	818
tael	819
gold	820
spent	821
come	822
soon.	823
Cook	824
lamb	825
and	826
beef	827
enjoy	828
momentary	829
fun	830
The	831
three	832
hundred	833
gulped	834
down	835
at	836
once	837
Sir	838
Cen	839
Xun	840
Yuan	841
Danqiu	842
keep	843
drinking	844
cheers	845
will	846
sing	847
song	848
please	849
lend	850
your	851
ears	852
How	853
little	854
worth	855
music	856
delicacies	857
I’d	858
rather	859
fall	860
dead	861
around	862
All	863
saints	864
sages	865
obscure	866
history	867
Only	868
drinkers	869
have	870
their	871
great	872
names	873
pass	874
Once	875
Prince	876
Chen	877
held	878
banquet	879
Pingle	880
Palace	881
